,tweet,verified,created_at,location,favourites,retweets
115,"รักษาตำแหน่งยากยิ่งกว่า5555555555555
#popcat",False,2021-08-15 13:58:45,,0,1
116,real quick #popcat https://t.co/zUAF6dZXVE,False,2021-08-15 13:58:50,tpwk,0,0
117,"น้ำหอมไซร์ทดลองราคาหลักร้อย มาพร้อมคูปองส่วนลด เพียงแค่แอดไลน์ @Musthavepagae
 #ม็อบ15สิงหา #นิยายไลน์เว็บตูน… https://t.co/5OSjjHrFlp",False,2021-08-15 13:58:52,"กรุงเทพมหานคร, ประเทศไทย",0,1
118,กดบัตรคอนเสิร์ตยากกว่านี้เยอะ 555555555555 #popcat,False,2021-08-15 13:58:56,"Slytherin, Hogwarts ",3,1
119,ประเทศไทยต้องชนะครับ😔🤟🏻 #popcat https://t.co/u79cUeCp0G,False,2021-08-15 13:58:57,,1,0
120,🙏🏻🙏🏻#ม๊อบ15สิงหา #popcat https://t.co/Xn7WSMZ6hW,False,2021-08-15 13:58:58,,0,0
121,"ล่าสุดประโยคฮอตพาเข้าห้อง ประเทศไทยอลลี่
“ไปกดเเมวที่ห้องเราไหม”
.
.
เอาเรื่อง🤣🤣🤣
#popcat",False,2021-08-15 13:58:59,,2,1
122,They are like thieves who steal people's happiness.  Stealing the lives of children who are growing into adults  Th… https://t.co/Xq9T06JnWZ,False,2021-08-15 13:59:02,,1,3
123,"Just change prayut face instead of the cat Thai people could hit 1,000,000 billion #popcat",False,2021-08-15 13:59:02,,4,6
124,"วันนี้ทั้งวัน ตาดูซีรีส์ มือก็กด #popcat หันมาอีกทีแทบตกใจ ..โอ้ยกูน้อ 😂😂

ทีนี้อยากรู้ว่าใน 1 นาทีกดได้กี่คลิก เลย… https://t.co/HlfLmDiwxb",False,2021-08-15 13:59:03,"Prague, Chong",3,2
125,"น้ำหอมไซร์ทดลองราคาหลักร้อย มาพร้อมคูปองส่วนลด เพียงแค่แอดไลน์ @Musthavepagae
 #ม็อบ15สิงหา #นิยายไลน์เว็บตูน… https://t.co/gTdO07qGwo",False,2021-08-15 13:59:04,"กรุงเทพมหานคร, ประเทศไทย",0,1
126,พอไม่เข้าทวิต เหมือนตกข่าวสารในประเทศเลยว่าเกิดอะไรขึ้น #popcat,False,2021-08-15 13:59:09,,0,0
127,อยากให้เปลี่ยนจากรูปเเมวเป็นรูปไอตู่จะเอาตีนกดเเม่งทุกวันเลย55555 #popcat,False,2021-08-15 13:59:14,,1,0
128,ภาพที่หลายๆคนจะมองว่าพลุมันสวยเเต่ไม่เลยใต้พลุมันไม่ได้สวยงามอย่างนั้นเเต่มันคือภาพที่เจ้าหน้าที่กำลังยิงกระสุนยางใ… https://t.co/pqpbdjFqsm,False,2021-08-15 13:59:16,ส.ส.วิโรจน์ ,228,747
129,"น้ำหอมไซร์ทดลองราคาหลักร้อย มาพร้อมคูปองส่วนลด เพียงแค่แอดไลน์ @Musthavepagae
 #ม็อบ15สิงหา #นิยายไลน์เว็บตูน… https://t.co/Uh0FHHPQ1p",False,2021-08-15 13:59:16,"กรุงเทพมหานคร, ประเทศไทย",0,1
130,Popcat เหมือนที่ระบายความเครียดของคนไทยตอนนี้อะ เครียดเท่าไหนใส่เท่านั้นมันไม่ใช่เเค่ศักดิ์ศรีเเต่มันระบายความเครีย… https://t.co/jdRybTHRaQ,False,2021-08-15 13:59:20,,12,8
